config_index,K_Eh,Vavg_Eh,Etotal_Eh
284,0.0004273997412879818,-76.4632911421,-76.46286374235872
285,0.0004273903031286033,-76.45976868837667,-76.45934129807354
286,0.00042744040042075337,-76.46263513477334,-76.46220769437292
287,0.000427377941732808,-76.46332719016667,-76.46289981222493
288,0.0004274553794165716,-76.46187613776002,-76.46144868238059
289,0.0004274159216320222,-76.46202660405334,-76.4615991881317
290,0.0004274114414101149,-76.46317539555335,-76.46274798411194
291,0.0004274025998755239,-76.46224077000998,-76.4618133674101
292,0.00042739931101711546,-76.45771488556666,-76.45728748625564
293,0.00042737929065388055,-76.46289578180333,-76.46246840251267
294,0.00042741958439059154,-76.46272656036,-76.4622991407756
295,0.000427414460170161,-76.46174909089335,-76.46132167643317
296,0.0004274064266750622,-76.46407525966998,-76.4636478532433
297,0.0004274369047088446,-76.46287735606,-76.46244991915529
298,0.00042740601346581887,-76.46142290387,-76.46099549785653
299,0.0004273849921895226,-76.46204453815668,-76.46161715316448
300,0.0004273914272170527,-76.46128865915666,-76.46086126772944
301,0.0004273945920790238,-76.45879627795667,-76.45836888336459
302,0.00042738761464771835,-76.46199527765998,-76.46156789004533
303,0.0004274167964008588,-76.46307205976665,-76.46264464297025
304,0.00042738833843193374,-76.46099227214333,-76.46056488380489
305,0.00042741161464626573,-76.46317125762334,-76.46274384600869
306,0.0004273754955948092,-76.46219151326001,-76.46176413776442
307,0.00042741743422800563,-76.46155335948335,-76.46112594204912
308,0.0004274167917784935,-76.46223132280332,-76.46180390601154
309,0.0004273994292547154,-76.46255651603668,-76.46212911660743
310,0.00042739724307799625,-76.45944451147999,-76.45901711423691
311,0.00042736972506297925,-76.46044470893668,-76.46001733921162
312,0.0004273802840734735,-76.46328565475666,-76.46285827447258
313,0.00042743441100098376,-76.46236428985667,-76.46193685544567
314,0.00042730149217581746,-76.45838134812668,-76.4579540466345
315,0.000427417759730531,-76.46152946337666,-76.46110204561694
316,0.00042742576905558614,-76.46310678662,-76.46267936085094
317,0.00042737014271310473,-76.46289950155,-76.46247213140728
318,0.00042744276513176734,-76.46386166232334,-76.46343421955821
319,0.00042741611095318974,-76.46170340746335,-76.4612759913524
320,0.0004274295556108417,-76.46258816168333,-76.46216073212771
321,0.00042738804677619827,-76.46198038100002,-76.46155299295324
322,0.00042738282303737374,-76.45810983012001,-76.45768244729697
323,0.0004274127480609728,-76.46255252073,-76.46212510798193
324,0.00042740328451447906,-76.46342203085666,-76.46299462757214
325,0.000427413763495082,-76.45931336800001,-76.45888595423652
326,0.00042737140956970683,-76.46095270171,-76.46052533030043
327,0.00042741465538764377,-76.46307484887332,-76.46264743421793
328,0.0004274098218465848,-76.46163660587334,-76.46120919605148
329,0.0004274006409304272,-76.46258925946667,-76.46216185882574
330,0.00042740601346581887,-76.46142290387,-76.46099549785653
331,0.00042742035737941233,-76.46189915419333,-76.46147173383595
332,0.00042736341991012034,-76.46328880818666,-76.46286144476674
333,0.0004274164799000545,-76.45759951561,-76.4571720991301
334,0.0004273911873009157,-76.46129839726667,-76.46087100607937
335,0.00042741578245842525,-76.46059977118999,-76.46017235540754
336,0.0004274244858465275,-76.46091933619667,-76.46049191171082
337,0.0004272981882247121,-76.45825581757335,-76.45782851938512
338,0.00042738925263343584,-76.46190982120335,-76.46148243195071
339,0.00042740074240263815,-76.45916880513666,-76.45874140439426
340,0.00042739649518124494,-76.45933940447999,-76.45891200798481
341,0.0004274007031717962,-76.46381694823,-76.46338954752683
342,0.0004274078436863871,-76.45963583932334,-76.45920843147965
343,0.0004274289660144424,-76.46214730104334,-76.46171987207732
344,0.00042736406225949846,-76.46042976143667,-76.46000239737441
345,0.00042736586003331163,-76.46123293944665,-76.46080557358661
346,0.0004274262067825432,-76.46363656297333,-76.46320913676655
347,0.00042742763201948105,-76.46311465777002,-76.462687230138
348,0.00042741437487341436,-76.45777880513334,-76.45735139075848
349,0.0004274518774806877,-76.46167596088331,-76.46124850900583
350,0.00042741136264794693,-76.46389105832333,-76.46346364696068
351,0.000427400086559978,-76.46019529405,-76.45976789396343
352,0.0004274253418848247,-76.46024606236001,-76.45981863701813
353,0.0004274034950162357,-76.45891256075335,-76.45848515725834
354,0.0004274019628642732,-76.46287995169665,-76.46245254973378
355,0.0004274055171384904,-76.46103926070333,-76.46061185518619
356,0.00042739178711149805,-76.46243977850665,-76.46201238671954
357,0.00042741802086319826,-76.46231954558002,-76.46189212755915
358,0.0004274464547301678,-76.46321145231666,-76.46278400586192
359,0.0004273560017296009,-76.45828927821331,-76.45786192221159
360,0.0004274146090686543,-76.45733858307997,-76.45691116847091
361,0.0004274213283364313,-76.46032983056998,-76.45990240924164
362,0.00042737632964349933,-76.46185287219001,-76.46142549586037
363,0.0004274100023119187,-76.46295222090666,-76.46252481090434
364,0.0004274024482163842,-76.46259246866,-76.4621650662118
365,0.00042745264125258596,-76.46119101441334,-76.4607635617721
366,0.0004273595432337006,-76.46178068095668,-76.46135332141344
367,0.00042736508087032706,-76.46245282730334,-76.46202546222247
